,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
28723,28723,1401,2,100,1,1,1,0,شهرک ژاندارمری,107000000.0,2.0
28724,28724,1401,3,145,1,1,1,0,قیطریه، خیابان میرزاپور (خ. قلندری شمالی),100000000.0,4.0
28725,28725,1371,2,115,1,1,1,0,ستارخان,43391000.0,4.0
28726,28726,1380,2,65,0,0,1,0,اوقاف,36923000.0,1.0
28727,28727,1401,3,180,1,1,1,0,زعفرانیه,166666000.0,4.0
28728,28728,1390,3,180,1,1,1,0,آجودانیه,138888000.0,3.0
28729,28729,1382,2,84,0,0,1,0,تهرانپارس غربی,36904000.0,4.0
28730,28730,1384,2,114,1,1,1,0,یوسف‌آباد,68859000.0,1.0
28731,28731,1400,2,125,1,1,1,0,جنت‌آباد مرکزی,78560000.0,14.0
28732,28732,1391,2,122,1,1,1,0,گیشا (کوی نصر),88524000.0,3.0
28733,28733,1401,3,245,1,1,1,0,سعادت‌آباد,224489000.0,4.0
28734,28734,1387,2,93,1,1,1,0,ظفر,80107000.0,5.0
28735,28735,1393,2,109,1,1,0,0,سازمان برنامه,67431000.0,3.0
28736,28736,1385,3,214,1,1,1,0,اقدسیه,76635000.0,1.0
28737,28737,1401,4,280,1,1,1,0,الهیه,196428000.0,7.0
28738,28738,1396,2,64,1,1,0,0,استاد معین، خیابان دستغیب (ب. آیت الله سعیدی),46718000.0,2.0
28739,28739,1401,3,138,1,1,1,0,نیاوران,137681000.0,3.0
28740,28740,1386,2,61,1,1,1,0,سازمان برنامه,68032000.0,2.0
28741,28741,1390,3,158,1,1,1,0,کوهک,59177000.0,3.0
28742,28742,1390,4,354,1,1,1,0,الهیه,180000000.0,8.0
28743,28743,1399,1,60,1,1,1,0,کوی فردوس,72500000.0,4.0
28744,28744,1390,2,73,1,1,1,0,شهران جنوبی، خیابان طوقانی,71232000.0,3.0
28745,28745,1401,3,161,1,1,1,0,جردن,130434000.0,3.0
28746,28746,1396,1,47,1,0,1,0,جیحون,40531000.0,3.0
28747,28747,1383,2,127,1,1,1,0,اختیاریه,75590000.0,1.0
28748,28748,1392,1,50,1,1,0,0,پیروزی، کوچه فلاحیان (خ. بروجردی),40000000.0,3.0
28749,28749,1398,3,154,1,1,1,0,الهیه,220779000.0,8.0
28750,28750,1380,2,96,1,0,1,0,افسریه,27395000.0,4.0
28751,28751,1400,3,140,1,1,1,0,جنت‌آباد جنوبی,78571000.0,2.0
28752,28752,1391,2,132,1,1,1,0,تهرانپارس غربی,71969000.0,3.0
28753,28753,1380,2,120,0,0,0,0,نیلوفر,50000000.0,2.0
28754,28754,1395,2,90,1,1,1,0,میرداماد,101111000.0,2.0
28755,28755,1381,3,141,0,1,1,0,توانیر,74468000.0,1.0
