,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
12894,۱۳۹۸,۳,۱۹۰,1,1,1,0,مرزداران، بلوار مرزداران (بزرگراه یادگار امام),۹۵٬۷۸۹٬۰۰۰ ,۳
12895,۱۳۹۸,۱,۴۳,1,0,1,0,گمرک,۴۱٬۸۶۰٬۰۰۰ ,۳
12896,۱۳۸۳,۳,۱۲۰,1,1,1,0,ستارخان، خیابان شادمهر (خیابان ستارخان),۶۲٬۵۰۰٬۰۰۰ ,۴
12897,۱۳۸۵,۳,۱۸۵,1,1,1,0,سازمان آب,۵۴٬۵۹۴٬۰۰۰ ,۵
12898,۱۳۸۵,۱,۶۵,1,1,1,0,بهاران,۵۲٬۰۰۰٬۰۰۰ ,۲
12899,۱۴۰۰,۲,۱۱۰,1,1,1,0,سازمان برنامه,۸۶٬۳۶۳٬۰۰۰ ,۶
12900,۱۳۸۸,۲,۷۵,0,1,1,0,دریاچه شهدای خلیج فارس,۴۶٬۶۶۶٬۰۰۰ ,۲
12901,۱۳۸۵,۲,۷۸,1,1,1,0,جمهوری,۵۳٬۱۷۹٬۰۰۰ ,۳
12902,۱۴۰۱,۲,۱۴۰,1,1,1,0,سرو آزاد,۴۶٬۴۲۸٬۰۰۰ ,۱۳
12903,۱۴۰۱,۳,۱۲۲,1,1,1,0,سازمان برنامه,۷۷٬۰۴۹٬۰۰۰ ,۳
12904,۱۴۰۰,۲,۱۲۹,1,1,1,0,مبارک‌آباد بهشتی,۱۸٬۰۰۰٬۰۰۰ ,۳
12905,۱۳۷۹,۱,۵۹,0,0,1,0,ایران,۴۴٬۰۶۷٬۰۰۰ ,۱
12906,۱۳۹۷,۳,۲۰۰,1,1,1,0,آجودانیه,۱۲۰٬۰۰۰٬۰۰۰ ,۶
12907,۱۳۹۶,۲,۷۵,1,1,1,0,چیتگر، بلوار انصار (کنارگذر لشگری),۴۳٬۳۳۳٬۰۰۰ ,۱
12908,۱۳۹۵,۲,۸۸,1,1,1,0,باغ فیض,۷۳٬۱۸۱٬۰۰۰ ,۱
12909,۱۴۰۰,۳,۲۰۰,1,1,1,0,سازمان برنامه,۸۶٬۰۰۰٬۰۰۰ ,۲
12910,۱۳۸۵,۱,۶۰,0,1,1,0,پونک,۶۵٬۰۰۰٬۰۰۰ ,۴
12911,۱۳۸۰,۲,۹۶,0,0,1,0,نارمک,۵۶٬۲۵۰٬۰۰۰ ,۱
12912,۱۴۰۱,۱,۵۵,1,1,1,0,نارمک,۶۳٬۶۳۶٬۰۰۰ ,۴
12913,۱۳۹۰,۲,۶۵,0,0,1,0,نارمک,۴۷٬۶۹۲٬۰۰۰ ,۳
12914,۱۴۰۱,۳,۱۳۲,1,1,1,0,تهرانپارس غربی,۶۸٬۱۸۱٬۰۰۰ ,۳
12915,۱۳۸۰,۱,۶۰,1,0,1,0,نارمک,۴۸٬۳۳۳٬۰۰۰ ,۵
12916,۱۳۸۸,۲,۷۲,1,1,1,0,نارمک,۵۹٬۷۲۲٬۰۰۰ ,۳
12917,۱۴۰۰,۲,۱۲۰,1,1,1,0,یوسف‌آباد، خیابان مهرام (مدبر),۱۰۰٬۰۰۰٬۰۰۰ ,۴
12918,۱۳۸۸,۳,۱۲۱,0,1,1,0,پونک,۶۷٬۴۳۸٬۰۰۰ ,۱
12919,۱۴۰۱,۲,۱۰۶,1,1,1,0,دریاچه شهدای خلیج فارس,۱۶٬۵۰۹٬۰۰۰ ,۲۰
12920,۱۳۹۱,۱,۳۰,0,0,0,0,سبلان,۴۴٬۳۳۳٬۰۰۰ ,۱
12921,۱۴۰۱,۳,۱۴۵,1,1,1,0,قیطریه,۱۳۰٬۰۰۰٬۰۰۰ ,۲
12922,۱۳۸۶,۲,۷۳,1,1,1,0,جنت‌آباد مرکزی,۷۲٬۶۰۲٬۰۰۰ ,۴
12923,۱۴۰۱,۳,۲۵۰,1,1,1,0,پاسداران,۲۰۰٬۰۰۰٬۰۰۰ ,۶
12924,۱۳۹۲,۳,۱۶۵,1,1,1,0,سعادت‌آباد,۹۸٬۱۸۱٬۰۰۰ ,۳
12925,۱۳۸۱,۱,۵۴,0,0,0,0,جیحون,۳۶٬۱۱۱٬۰۰۰ ,۳
12926,۱۳۹۳,۱,۶۰,1,0,0,0,دریاچه شهدای خلیج فارس,۵۵٬۰۰۰٬۰۰۰ ,۴
12927,۱۴۰۰,۳,۱۵۸,1,1,1,0,ولنجک,۱۲۷٬۸۴۸٬۰۰۰ ,۶
12928,۱۴۰۱,۲,۱۰۶,1,1,1,0,چیتگر,۱۲٬۲۶۴٬۰۰۰ ,۱۶
12929,۱۴۰۱,۳,۱۴۹,1,1,0,0,خانی‌آباد,۴۳٬۲۸۸٬۰۰۰ ,۵
12930,۱۳۸۶,۳,۲۱۹,1,1,1,0,تهرانپارس غربی,۶۸٬۴۹۳٬۰۰۰ ,۲
12931,۱۴۰۱,۲,۷۰,1,0,1,0,مبارک‌آباد بهشتی,۱۹٬۲۸۵٬۰۰۰ ,۲
12932,۱۴۰۱,۲,۹۶,1,1,1,0,دریاچه شهدای خلیج فارس,۴۳٬۷۵۰٬۰۰۰ ,۱۴
12933,۱۳۹۱,۳,۱۲۵,1,1,1,0,میرداماد,۹۷٬۶۰۰٬۰۰۰ ,۱
